1,사적 모임,5인 이상 모임 금지,03-29 ~ 04-11,"▸5명부터 사적 모임 금지

  * (제외)
① 직계가족(8인까지) 또는 거주공간이 동일한 가족 등이 모이는 경우
② 상견례(8인까지) 
③ 영유아(6세 미만의 취학 전 아동)를 동반하는 경우(8인까지. 단 영유아를 제외한 인원은 4인까지 가능)
④ 아동‧노인‧장애인 돌봄에 필요한 경우 
⑤ 임종 가능성이 있어 가족 등이 모이는 경우 
⑥ 시설 관리자가 있는 스포츠 영업시설에 스포츠 경기를 위해 모이는 경우 
⑦ 돌잔치 전문점

 - 식당 등 다중이용시설에 5명 이상 예약 및 동반입장 금지",party,fdcb6e,ffeaa7
2,기타 모임·행사 ,일부 제한,03-29 ~ 04-11,"▸방역수칙 준수하면서 모임·행사 실시 가능(단. 500명 초과시 관할 지자체에 신고·협의 필요)
▸집회‧시위. 대규모 콘서트. 축제. 학술행사는 100인 미만 
▸전시·박람회. 국제회의의 경우 시설 면적 4㎡당 1명으로 인원 제한. 100인 기준 미적용",leader,e17055,fab1a0
3,유흥시설,일부 제한,03-29 ~ 04-11,"▸전자출입명부 작성 의무(유흥종사자 포함) 
▸시설 면적 8㎡당 1명 인원 제한 
▸가창시 마스크 착용 등 의무사항 준수 
▸주사위. 카드 등 공용물품 사용시 장갑착용",dance,d63031,ff7675
4,직접판매홍보관,05시 ~ 22시까지 운영,03-29 ~ 04-11,"▸시설 면적 4㎡당 1명으로 인원 제한 
▸22시~익일 05시까지 운영 중단 
▸노래·음식 제공 금지(물·무알콜 음료는 허용)",influencer,e84393,fd79a8
5,노래연습장,일부 제한,03-29 ~ 04-11,"▸시설 면적 4㎡당 1명 인원 제한 
▸음식 섭취 금지(물·무알콜 음료는 허용) 
▸이용한 룸은 바로 소독. 30분 후 사용",mic,2d3436,6.36E+84
6,실내 공연장,일부 제한,03-29 ~ 04-11,"▸음식섭취 금지 
▸시설 면적 4㎡당 1명 인원 제한",watch,00b894,55efc4
7,식당·카페,일부 제한,03-29 ~ 04-11,"▸2인 이상이 커피·음료류·디저트류만을 주문했을 경우 매장 내 머무르는 시간을 1시간으로 제한(강력 권고)
▸테이블 또는 좌석 한 칸을 띄워 매장 좌석의 50%만 활용하되 이를 준수하기가 어려울 경우 
① 테이블 간 1m 거리두기 
② 테이블 간 칸막이/가림막 설치 중 한 가지 준수(시설 면적 50㎡ 이상)

▸뷔페의 경우 공용집게·접시·수저 등 사용 전후 손소독제 또는 비닐장갑 사용. 음식 담기 위한 대기 시 이용자 간 간격 유지",coffee,00cec9,81ecec
8,파티룸,일부 제한,03-29 ~ 04-11,"▸이용인원 제한 및 가능인원 게시(개별 방 면적대비 8㎡당 1명)
  * 출입구 등에 방별 이용 가능인원 게시 및 안내
▸테이블간 1m 거리두기 또는 좌석/테이블 한칸 띄우기 또는 테이블 간 칸막이 설치(시설 허가·신고면적 50㎡이상)",balloon,9.84E+07,74b9ff
9,실내체육시설,일부 제한,03-29 ~ 04-11,"▸음식 섭취 금지(물·무알콜 음료는 허용) 
▸시설 면적 4㎡당 1명 인원 제한",dumbbell,6c5ce7,a29bfe
10,학원·교습소,일부 제한,03-29 ~ 04-11,▸시설 면적 4㎡당 1명으로 인원 제한 또는 한 칸 띄우기,books,b2bec3,dfe6e9
11,목욕장업,일부 제한,03-29 ~ 04-11,"▸시설 면적 4㎡당 1명으로 인원 제한 
▸음식 섭취 금지(물·무알콜 음료는 허용)",bathtub,fdcb6e,ffeaa7
12,영화관,일부 제한,03-29 ~ 04-11,▸좌석 한 칸 띄우기 또는 동반자 외 좌석 한 칸 띄우기,theater,e17055,fab1a0
13,공연장,일부 제한,03-29 ~ 04-11,▸좌석 한 칸 띄우기 또는 동반자 외 좌석 한 칸 띄우기,festival,d63031,ff7675
14,PC방,일부 제한,03-29 ~ 04-11,▸다른 일행 간 한 칸 띄우기(칸막이 있는 경우 제외),computer,e84393,fd79a8
15,오락실·멀티방,일부 제한,03-29 ~ 04-11,▸시설 면적 4㎡당 1명으로 인원 제한,joystick,2d3436,6.36E+84
16,독서실,일부 제한,03-29 ~ 04-11,▸다른 일행 간 한 칸 띄우기(칸막이 있는 경우 제외) ▸단체룸은 50%로 인원 제한,study,00b894,55efc4
17,놀이공원,일부 제한,03-29 ~ 04-11,▸수용가능인원의 50%로 인원 제한,rollercoaster,00cec9,81ecec
18,미용실,일부 제한,03-29 ~ 04-11,▸4㎡당 1명으로 인원 제한 또는 한 칸 띄우기,salon,9.84E+07,74b9ff
19,백화점·대형마트,일부 제한,03-29 ~ 04-11,"▸발열체크 등 증상 확인 
▸마스크 착용
▸주기적 환기·소독",building,6c5ce7,a29bfe
20,숙박시설,일부 제한,03-29 ~ 04-11,"▸객실 내 정원 초과 인원 수용 금지
▸파티를 위한 객실(이벤트룸 등) 운영 금지 
▸숙박시설 주관 파티·행사 개최 금지. 개인 주최 파티 금지 권고
▸객실 정원관리 철저. 개인 파티 적발 시 퇴실 조치한다는 안내문 게시 ",beds,b2bec3,dfe6e9
